State	1973	1975	1980	1985	1992	1996	2000
Alabama	4600	6000	20800	19400	17000	15000	14000
Alaska	1200	1600	1900	3500	2000	2000	2000
Arizona	2800	6700	15800	22300	21000	19000	18000
Arkansas	1100	2600	6200	5400	7000	6000	6000
California	143900	165600	250400	304100	304000	238000	236000
Colorado	7600	13600	23100	24400	20000	18000	16000
Connecticut	6800	11400	18400	21900	20000	16000	15000
District of Columbia	44600	31400	28500	23900	6000	4000	5000
Delaware	2100	2400	3700	4600	21000	21000	10000
Florida	22900	46500	73600	76700	85000	94000	103000
Georgia	1100	23800	37900	38300	40000	37000	32000
Hawaii	4700	5900	8000	11200	12000	7000	6000
Idaho	400	1100	2700	2700	2000	2000	2000
Illinois	32800	60300	69100	65000	68000	69000	64000
Indiana	1800	7700	19600	16100	16000	15000	12000
Iowa	2900	6200	9300	9900	7000	6000	6000
Kansas	12600	14300	13600	10200	13000	11000	12000
Kentucky	2600	8500	12800	9800	10000	8000	5000
Louisiana		5300	17700	19200	14000	15000	13000
Maine	700	2000	4800	5000	4000	3000	3000
Maryland	11100	21800	30500	29500	31000	31000	35000
Massachusetts	12400	33300	45600	40300	41000	41000	30000
Michigan	37500	42700	65200	64400	56000	49000	46000
Minnesota	7300	12800	19000	16900	16000	15000	15000
Mississippi	100	300	6100	5900	8000	4000	4000
Missouri	3400	11000	21600	20100	14000	11000	8000
Montana	500	1500	3700	3700	3000	3000	3000
Nebraska	2300	4600	6400	6700	6000	4000	4000
Nevada	1000	3000	9200	9900	13000	15000	14000
New Hampshire	600	1800	4700	7000	4000	3000	3000
New Jersey	10200	32400	55500	69200	55000	63000	66000
New Mexico	4700	5100	8400	6100	6000	5000	6000
New York	215000	170700	187500	195100	195000	168000	165000
North Carolina	12300	20000	31900	34200	36000	34000	38000
North Dakota		900	3100	2900	1000	1000	1000
Ohio	17300	44600	67100	57400	50000	43000	40000
Oklahoma	600	6800	11300	13100	9000	8000	7000
Oregon	8000	13300	17700	15200	16000	15000	17000
Pennsylvania	29900	47400	68900	57400	50000	40000	37000
Rhode Island	1100	3300	6600	7800	7000	5000	6000
South Carolina	2200	6200	13700	11200	12000	10000	8000
South Dakota	1600	1600	1400	1700	1000	1000	1000
Tennessee	3700	17600	25600	22400	19000	18000	19000
Texas	17300	51200	102000	100800	97000	91000	89000
Utah	100	2000	4200	4400	4000	4000	4000
Vermont	1500	2200	3800	3400	3000	2000	2000
Virginia	8400	20300	31800	34200	35000	30000	29000
Washington	17300	20900	37000	31000	33000	26000	26000
West Virginia	100	100	3000	4600	3000	3000	3000
Wisconsin	8200	11300	21800	17800	15000	14000	11000
Wyoming	200	500	1100	1100			